Chest Exercises,Shoulders Exercises,Tricep Isolation Exercises,Back Exercises,Upper Trap Exercises,Biceps Isolation Exercises,Glute Exercises,Quad Exercises,Hamstring Exercises,Calves Exercises,Legs - Other,Forearm Exercises,Neck Exercises,Core Exercises,,Push,Pull,Legs,Extra
Cable cross over,Seated DB shoulder press,Tricep pushdowns,Lat pullover,Shrugs - Barbell,Inclined curls,Barbell Glute bridges,Leg extensions,Seated leg curls,Single leg Standing (leg press machine) toe raises,Hip Adduction Machine,Wrist Curls,Neck Curls,Cable crunch,,Chest Exercises,Back Exercises,Glute Exercises,Forearm Exercises
Bench press,Shoulder press machine,Overhead cable tricep extensions,Seated machine row,Shrugs - DB,Z bar curl,DB glute bridges,Leg press,Glute-ham raise,Seated toe raises,Hip Abduction Machine,Reverse Wrist Curls,Neck Extensions,Deadbugs,,Shoulders Exercises,Upper Trap Exercises,Quad Exercises,Neck Exercises
Incline bench,Cable Lateral raise,Cable tricep extensions straight bar,Reverse close grip lat pull-down,Handstand Shrugs,bayesian curl,Barbell Glute bridges on bench,Back squat,Laying Leg curls,Standing (leg press machine) toe raises,Bodyweight side lunges,Farmer's Walk,Neck Bridges (Wrestler),Cable wood chops,,Tricep Isolation Exercises,Biceps Isolation Exercises,Hamstring Exercises,Core Exercises
Chest press machine one arm,Face pulls,Skull Crushers,DB row,Inverted Shrugs,Barbell Curl,DB Glute bridges on bench,Goblet squat,Barbell RDL,Single leg Seated toe raises,Bodyweight Reverse Lunges,Suitcase Carry,Isometric Neck Holds,Ab Rollout,,,,Calves Exercises,
DB bench,Barbell Overhead Press,Dips - Tricep Focused,Wide grip pull down,Parallel Bar Shrugs,Dumbbell Hammer Curl,Barbell Hip Thrust,Front Squat,DB RDL,One leg standing toe raise,DB Reverse Lunges,Towel Hangs,Neck Plank (Front/Back),Body Saw,,,,Legs - Other,
Smith machine incline press,DB standing overhead press,Dumbbell Kickbacks,Lat pull down,,Preacher Curl - Machine,Cable Pull-Through,Bulgarian Split Squat,Barbell Deadlift - Sumo,Donkey Calf Raise,Curtsy Lunges,Curtsy Lunges,,Cable Pallof Press,,,,,
Push-Ups,Handstand Push-ups,Rope Pushdowns,Barbell Bent-Over Row,,Preacher Curl - DB,Single-Leg Hip Thrust,Walking Lunges,Barbell Deadlift - Conventional,Explosive Pogo Hops,DB Curtsy Lunges,Fingertip Push-Ups,,Plank,,,,,
Incline Push-Ups,Pike Push-ups,Bodyweight Skull Crushers,Pullups,,Preacher Curl - zbar,Elevated Single-Leg Glute Bridge,Step-Ups - Barbell,Single-Leg Bodyweight RDL,Single Leg Calf Raise (Deficit),Barbell Reverse Lunges,Wrist Roller,,Side Plank,,,,,
Decline Push-Ups,Arnold Press,Ring Tricep Extensions,Bodyweight Rows,,Concentration Curl,Reverse Hyper,Step-Ups - DB,Smith machine deadlift,Jump Rope (Double Unders),Kettlebell Swings,Dead Hang (One Arm),,Hanging Leg Raises,,,,,
Incline DB bench,Leaning DB lateral raise,Sphinx Push-Ups,T-Bar Row,,Pelican Curls (Rings),Ring Fallout,Pistol Squats,Nordic Hamstring Curl,Tibialis Raises (Wall/Weight),Copenhagen Plank (Adductor),,,Hanging Knee Raise,,,,,
Chest press machine,Cable lateral raises,Tiger Bend Push-Ups,Dead Hang,,Ring Bicep Curls,Single-Leg Glute Bridge Sliders,Hack Squat Machine,Slider Leg Curls,,Lateral Step-Ups,,,Russian Twists,,,,,
Dips - Chest Focused,Front Raises - DB,Impossible Dips,Chin ups,,Headbangers,,Shrimp Squats,Ring Leg Curls,,Duck Walk,,,Reverse Crunch,,,,,
Barbell Incline Press,Front Raises - Plate,Diamond Push-Ups,Back Extensions,,Chin-Up Iso Holds,,Sissy Squats,Harop Curl,,Horse Stance,,,Dragon Flags,,,,,
Barbell Flys - Flat,Front Raises - Cable,Bench Dips (Elevated Feet),Muscle-Ups,,Inverted Row (Underhand),,Airborne Lunges,Jefferson Curl,,Seated Good Morning,,,Toes-to-Bar,,,,,
Barbell Flys - Incline,Rear Delt Fly - DB,Korean Dips (Bar Behind),Front Lever Rows,,,,Matrix Lunges,,,,,,Windshield Wipers,,,,,
Pec Deck Machine,Rear Delt Fly - Cable,,Front Lever Holds,,,,Assisted Pistol Squats (Rings),,,,,,L-Sit,,,,,
Close-Grip Bench Press,Rear Delt Fly - Reverse Pec deck,,Archer Pull-Ups,,,,Jump Squats,,,,,,V-Sit,,,,,
Archer Push-Ups,Upright Row,,Typewriter Pull-Ups,,,,Box Jumps,,,,,,Manna,,,,,
Ring Dips (Bulgarian),Freestanding Handstand Push-Ups,,L-Sit Pull-Ups,,,,Cossack Squats,,,,,,Human Flag Progressions,,,,,
Ring Flys,Deficit Pike Push-Ups,,Commando Pull-Ups,,,,Reverse Nordic Curls,,,,,,Ring Rollouts,,,,,
RTO Push-Ups,Wall Walks,,Ring Rows (Feet Elevated),,,,Broad Jumps (Plyo),,,,,,Hollow Body Rocks,,,,,
Pseudo Planche Push-Ups,Planche Leans,,One-Arm Ring Rows,,,,,,,,,,Compression Leg Lifts,,,,,
Typewriter Push-Ups,Ring Face Pulls,,Skin the Cat,,,,,,,,,,Vacuum,,,,,
One-Arm Push-Up Progressions,Ring Rear Delt Flys,,Mantle Chin-Ups,,,,,,,,,,Press to Handstand,,,,,
Explosive/Clapping Push-Ups,"Rear Delt ""Y"" Raises",,Iron Cross Hold (Support),,,,,,,,,,Back Lever Progressions,,,,,
Deep Deficit Push-Ups,Hindu / Dive Bomber Push-Ups,,,,,,,,,,,,Ice Cream Makers,,,,,
QDR (Rotational Push-Ups),Straddle Planche,,,,,,,,,,,,,,,,,